Oprah Winfrey Network	http://www.youtube.com/user/OWN	
What the Buck! Show	http://www.youtube.com/user/WHATTHEBUCKSHOW	
PSY	http://www.youtube.com/user/officialpsy	
The View	http://www.youtube.com/user/ABCTheView	
The Warner Sound	http://www.youtube.com/user/TheWarnerSound	
CNN	http://www.youtube.com/user/CNN
Clevver Music	http://www.youtube.com/user/ClevverMusic
Mondo Media	https://www.youtube.com/user/MondoMedia
ESPN	https://www.youtube.com/user/espn
Howcast	http://www.youtube.com/user/Howcast
RedBull	http://www.youtube.com/user/redbull
SourceFed	http://www.youtube.com/user/sourcefed
MotorTrend	http://www.youtube.com/user/motortrend
DanceOn	http://www.youtube.com/user/DanceOn
ENTV	http://www.youtube.com/user/ENTV
Clevver News	http://www.youtube.com/user/ClevverNews
Noisey	http://www.youtube.com/user/noisey
Fuse	http://www.youtube.com/user/fuse
Awesomeness TV	http://www.youtube.com/user/AwesomenessTV
TMZ	http://www.youtube.com/user/TMZ
Soul Pancake	http://www.youtube.com/user/soulpancake
TechnoBuffalo	http://www.youtube.com/user/jon4lakers
CNET	http://www.youtube.com/user/CNETTV
Pitchfork TV	http://www.youtube.com/user/pitchforktv
Drive	http://www.youtube.com/user/drive
RIDE Channel	http://www.youtube.com/user/RIDEChannel
Ray William Johnson	http://www.youtube.com/user/RayWilliamJohnson
Jenna Marbles	http://www.youtube.com/user/jennamarbles
Shane Dawson TV	http://www.youtube.com/user/ShaneDawsonTV
Epic Meal Time	http://www.youtube.com/user/EpicMealTime
Tobuscus	http://www.youtube.com/user/Tobuscus
Real Annoying Orange	http://www.youtube.com/user/realannoyingorange
The Lonely Island	http://www.youtube.com/user/thelonelyisland
Ellen DeGeneres Show	http://www.youtube.com/user/TheEllenShow
Dr.Oz	http://www.youtube.com/user/DoctorOz
Jerry Springer Show	http://www.youtube.com/user/JerrySpringerHQ
Jay Leno's Garage	http://www.youtube.com/user/JayLenosGarage
CMT	http://www.youtube.com/user/cmtvideo
Billboard Countdown	http://www.youtube.com/user/BillboardGoddess
Billboard Magazine	http://www.youtube.com/user/BillboardMagazine
Billboard Classic	http://www.youtube.com/user/billboardclassic
Billboard Top 10s	http://www.youtube.com/user/TheSuperMusicazz
Michelle Phan Beauty	http://www.youtube.com/user/MichellePhan
Phillip DeFranco Show	http://www.youtube.com/user/sxephil
The Fine Bros	http://www.youtube.com/user/TheFineBros
Barely Political	http://www.youtube.com/user/barelypolitical
TWiT Network	http://www.youtube.com/user/twit
The Verge	http://www.youtube.com/user/TheVerge
Think Geek	http://www.youtube.com/user/thinkgeek
Mashable	http://www.youtube.com/user/mashable
The Gadget Show	http://www.youtube.com/user/thegadgetshow
iFixit	http://www.youtube.com/user/iFixitYourself
Robert Scoble	http://www.youtube.com/user/Scobleizer
Clevver Movies	http://www.youtube.com/user/clevvermovies
Clevver Style	http://www.youtube.com/clevverstyle
Clevver TV	http://www.youtube.com/user/clevverTV
TLC	http://www.youtube.com/user/TLC
Hollywood Streams	http://www.youtube.com/user/hollywoodstreams
JoBlo Movie Trailers	http://www.youtube.com/user/joblomovienetwork
Splash News TV	http://www.youtube.com/user/Splashnews
Space.com	http://www.youtube.com/user/VideoFromSpace
Schmoyoho	http://www.youtube.com/user/schmoyoho
NetworkA	http://www.youtube.com/user/NetworkA
NBA	http://www.youtube.com/user/NBA
Alli Sports	http://www.youtube.com/user/AlliSports
BFvsGF	http://www.youtube.com/user/BFvsGF
VlogBrothers	http://www.youtube.com/user/vlogbrothers
Mystery Guitar Man	http://www.youtube.com/user/MysteryGuitarMan
Just For Laughs Gags	http://www.youtube.com/user/JustForLaughsTV
Break	http://www.youtube.com/user/break
Khan Academy	http://www.youtube.com/user/khanacademy
People Magazine	http://www.youtube.com/user/people
From Head to Toe	http://www.youtube.com/user/frmheadtotoe
The Modern Mom	http://www.youtube.com/user/modernmom
Smosh 2	http://www.youtube.com/user/IanH
Movieclips Mashups	http://www.youtube.com/user/MovieclipsMASHUPS
Reelz	http://www.youtube.com/user/ReelzChannel
