ID,Name,URL,Categories, Tag,Language,Region,Quality
4400,自由發揮,http://www.youtube.com/user/otfonetwofree,人物與網誌,華語歌手; 自由發揮; 李伯恩; 阿達; 花絮; MV,中,TW,高
33,阿宅反抗軍,http://www.youtube.com/user/otakuarmy,人物與網誌,朱學恆; 宅神; 新聞,中,TW,高
,Tzu Chi DaAiVideo,http://www.youtube.com/user/daaivideo,宗教與非營利,大愛; 慈濟; 談話類,中,TW,高
,好消息電視台,http://www.youtube.com/user/goodtv,宗教與非營利,GoodTV; 電視台,中,TW,中
8070,台灣呷透透,http://www.youtube.com/user/eltafood,時尚美食與生活,MOD; 中華電信;  美食,中,TW,高
378,大小創意,http://www.youtube.com/user/dxmonline,時尚美食與生活,設計概念; 創意; 文化,中,TW,中
,凱渥 CATWALK,http://www.youtube.com/user/catwalk2009,時尚美食與生活,綜藝娛樂; 模特兒; 凱渥,中,TW,中
1517,非凡大探索,http://www.youtube.com/user/neoking5168,時尚美食與生活,非凡; 美食; 台灣真善美,中,TW,中
144,商業週刊,http://www.youtube.com/user/bwnet,教育講座,商業; 講座; 文化,中,TW,中
,天下雜誌群影音頻道,http://www.youtube.com/user/cwtv,教育講座,天下雜誌; 國際,中,TW,高
,遠見‧天下文化事業群,http://www.youtube.com/user/cwgv,教育講座,遠見雜誌; 天下文化; 名人專訪; 知性,中,TW,高
,台灣原住民族電視台,http://www.youtube.com/user/taiwanindigenoustv,電視與電影,原住民,中,TW,中
,中天影音頻道,http://www.youtube.com/user/ctitv,電視與電影,中天; 電視台,中,TW,中
4458,台灣電視公司,http://www.youtube.com/user/ttv,電視與電影,台視; 電視台,中,TW,中
,年代電視台 ERANews,http://www.youtube.com/user/eranews,電視與電影,年代; 財經,中,TW,中
,公共電視有話好說,http://www.youtube.com/user/ptstalk,電視與電影,公視; 談話類; 知性; 名嘴,中,TW,中
7245,看看新聞網 (SMG News),http://www.youtube.com/user/kankanews,電視與電影,SMG; 看看新聞網; 電視台,中,TW,中
429,齊石傳播的影音總匯,http://www.youtube.com/user/keystone0318,電視與電影,齊石; 電視台,中,TW,中
,美的因世界 HD,http://www.youtube.com/user/winyeda,藝術設計,高清影像; 攝影; 旅遊; HD,中,TW,中
,非池中藝術網,http://www.youtube.com/user/artemperor888,藝術設計,文化; 藝術,中,TW,高
,台北當代藝術館 MOCATaipei,http://www.youtube.com/user/mocatp,藝術設計,展覽預告,中,TW,高
178,FashionGuide影音美人教室,http://www.youtube.com/user/fashionguide,時尚生活與美食,beauty; 化妝,中,TW,中
,華視直播頻道,http://www.youtube.com/user/TBSCTS/featured?v=jRgkIzylV90,華視,CTS; 新聞; 資訊,中,TW,中
25093,台灣好好吃好好玩,,,,,,
11329,好吃夯仔內,,,,,,
10656,南北大不同,,,,,,
11116,生活大百科,,,,,,
20151,西餐人生[VOD],,,,,,
14733,2010職場達人show[VOD],,,,,,
20158,西點go烘[VOD],,,,,,
20159,台灣農民力[VOD],,,,,,
20160,白色20變[VOD],,,,,,
26070,圓夢廚房,,,,,,
25477,大兵日記,,,,,,
25527,帶子英雄,,,,,,
25478,施公奇案,,,,,,
25479,葉青歌仔戲－薛平貴與王寶釧,,,,,,
25486,包青天,,,,,,
14746,艋舺燿輝,,,,,,
14383,科技新知,,,,,,
14382,新奇趣聞,,,,,,
8601,生活資訊,,,,,,
8602,娛樂八卦,,,,,,
14385,寰宇國際,,,,,,
9632,創設計,,,,,,
9973,S.H.E 愛而為一,,,,,,
9207,獨立音樂 ID MUSIC,,,,,,
9609,CG VFX Express,,,,,,
9716,麻辣獸醫師：寵物頻道,,,,,,
9611,尋找大明星,,,,,,
,HK M,http://www.youtube.com/user/msfhk,Nonprofits & Faith , msf; 非洲; 人道關注; 醫療,ZH,Worldwide,Q1
,愛 旅遊,http://www.youtube.com/user/uwanttotravel,Fashion; Food & Living ,kuso,Others,Worldwide,Q3
235,Adidas Football 官方,http://www.youtube.com/user/adidasfootballtv,Fashion; Food & Living ,sportswear; soccer; football,EN,Worldwide,Q2
42,Adidas Originals ,http://www.youtube.com/user/adidasoriginals,Fashion; Food & Living ,sportswear,EN,Worldwide,Q1
3514,Ahanhbarbie Beauty,http://www.youtube.com/user/ahanhbarbie34,Fashion; Food & Living ,outfits; hairstyle; beauty products,EN,Worldwide,Q2
,Toy Animations and Action films,http://www.youtube.com/user/counter656,Cartoons & Animation ,Action; stop motion; commercial; gaming; VFX,Others,Worldwide,Q1
3589,AniBoom,http://www.youtube.com/user/aniboom,Cartoons & Animation ,funny; kids,EN,Worldwide,Q1
7456,Beijing Cream,http://www.youtube.com/user/beijingcream,People; Blogs & Shorts ,viral,EN,Worldwide,Q3
6368,Brussup Illusion Science,http://www.youtube.com/user/brusspup,Art & Design ,visual,EN,Worldwide,Q2
1496,Chef Tips,http://www.youtube.com/user/cheftips,How-To ,recipes,EN,Worldwide,Q2
4039,Christina Grimmie ,http://www.youtube.com/user/zeldaxlove64,People; Blogs & Shorts ,indie; song covers; pop,EN,Worldwide,Q2
1497,Coca Cola,http://www.youtube.com/user/cocacola,Fashion; Food & Living ,beverages,EN,Worldwide,Q3
7816,Culture Pub,http://www.youtube.com/user/culturepub,Art & Design ,tv commercials,EN,Worldwide,Q1
8385,Chengdu PAW,http://www.youtube.com/user/chengdupaw,Animals & Pets ,campaigns,Others,Worldwide,Q3
3704,CuteWinFail,http://www.youtube.com/user/cutewinfail,Comedy,viral; funny,EN,Worldwide,Q2
6670,Daneboe,http://www.youtube.com/user/daneboe,People; Blogs & Shorts ,web shorts,EN,Worldwide,Q2
7549,DARPAtv,http://www.youtube.com/user/darpatv,Tech & Apps ,robotics,EN,Worldwide,Q3
980,Diet Health,http://www.youtube.com/user/diethealth,Sports & Health ,workouts,EN,Worldwide,Q2
17,ELLE TV,http://www.youtube.com/user/elletvfashion,People; Blogs & Shorts ,high fashion,EN,Worldwide,Q2
594,Fashion DIY,http://www.youtube.com/user/anneorshine,Fashion; Food & Living ,outfits,EN,Worldwide,Q2
3593,Frederator,http://www.youtube.com/user/channelfrederator,Cartoons & Animation ,klds,EN,Worldwide,Q2
480,亞神音樂,http://www.youtube.com/user/asiamuseentertainme,音樂,亞神音樂娛樂; 歌手; MV,中,TW,高
2659,喜歡音樂Enjoy Music,http://www.youtube.com/user/enjoymusicrec,音樂,歌手; 花絮; MV,中,TW,高
