ID,Name,URL,Categories, Tag,Language,Region,Quality
,Ma shushu,http://www.youtube.com/user/cowboy731216,DIY教學,馬叔叔; 烏克麗麗; 吉他; Ukulele,中,TW,高
,蔡阿嘎,http://www.youtube.com/user/kyoko38,人物與網誌,蔡阿嘎; 短片; kuso; 台語教學,中,TW,中
,那傳媒 - 全活動記錄媒體,http://www.youtube.com/user/nagootv,人物與網誌,nagootv; 記者會; 明星藝人; 娛樂新聞,中,TW,高
4400,自由發揮,http://www.youtube.com/user/otfonetwofree,人物與網誌,華語歌手; 自由發揮; 李伯恩; 阿達; 花絮; MV,中,TW,高
33,阿宅反抗軍,http://www.youtube.com/user/otakuarmy,人物與網誌,朱學恆; 宅神; 新聞,中,TW,高
,阿神 Kouki,http://www.youtube.com/user/charlie615119,卡通動畫,遊戲; OeurStudio,中,TW,高
,悠遊墾丁,http://www.youtube.com/user/uuktsir,時尚美食與生活,旅遊; 墾丁; 民宿,中,TW,高
,數位 時尚 性感 流行,http://www.youtube.com/user/2ojux,時尚美食與生活,女性; 展場,中,TW,高
216,美人誌,http://www.youtube.com/user/beauty321,時尚美食與生活,彩妝; beauty; 保養; 美容; 女性; 時尚,中,TW,高
180,雄獅旅遊影音頻道,http://www.youtube.com/user/lioncyber,時尚美食與生活,旅遊; 雄獅 ; 教學 ,中,TW,中
,凱渥 CATWALK,http://www.youtube.com/user/catwalk2009,時尚美食與生活,綜藝娛樂; 模特兒; 凱渥,中,TW,中
1517,非凡大探索,http://www.youtube.com/user/neoking5168,時尚美食與生活,非凡; 美食; 台灣真善美,中,TW,中
,FHM_Taiwan 男人幫國際中文版,http://www.youtube.com/user/FHMTW,時尚美食與生活,雜誌; 性感,中,TW,高
,TSR Taiwan,http://www.youtube.com/user/taiwansr,動力機械 ,機車; TSR,中,TW,高
144,商業週刊,http://www.youtube.com/user/bwnet,教育講座,商業; 講座; 文化,中,TW,中
,天下雜誌群影音頻道,http://www.youtube.com/user/cwtv,教育講座,天下雜誌; 國際,中,TW,高
,遠見‧天下文化事業群,http://www.youtube.com/user/cwgv,教育講座,遠見雜誌; 天下文化; 名人專訪; 知性,中,TW,高
,團隊 這群人,http://www.youtube.com/user/e84768131,搞笑小品,美式幽默; KUSO; 喜劇,中,TW,中
,台灣青棒賽,http://www.youtube.com/user/ilovebaseballforever,運動與健康,棒球; 中華少棒,中,TW,中
426,巴哈姆特 GNN TVG 影音頻道 Ch.2,http://www.youtube.com/user/samgnn2,電玩遊戲,巴哈母特; 遊戲畫面,中,TW,中
176,電玩宅速配,http://www.youtube.com/user/efuntv,電玩遊戲,遊戲畫面; 遊戲發表會,中,TW,高
,Garena 英雄聯盟(LoL),http://www.youtube.com/user/LeagueofLegendsTW,電玩遊戲,電玩; 遊戲畫面,中,TW,高
,Garena 台灣競舞娛樂,http://www.youtube.com/user/GarenaTaiwan,電玩遊戲,電玩; 遊戲畫面,中,TW,高
,中天影音頻道,http://www.youtube.com/user/ctitv,電視與電影,中天; 電視台,中,TW,中
,二十世紀福斯影片,http://www.youtube.com/user/twfoxmovies,電視與電影,電影預告,中,TW,高
,佳映娛樂,http://www.youtube.com/user/jointanna,電視與電影,電影預告,中,TW,中
,前景娛樂,http://www.youtube.com/user/ffetaipei,電視與電影,電影預告,中,TW,高
,台灣索尼影業,http://www.youtube.com/user/sonytw2009,電視與電影,電影預告,中,TW,高
4458,台灣電視公司,http://www.youtube.com/user/ttv,電視與電影,台視; 電視台,中,TW,中
,姐妹淘,http://www.youtube.com/user/zimeitao,電視與電影,綜藝娛樂; 緯來; 內容預告,中,TW,中
,年代電視台 ERANews,http://www.youtube.com/user/eranews,電視與電影,年代; 財經,中,TW,中
,公共電視有話好說,http://www.youtube.com/user/ptstalk,電視與電影,公視; 談話類; 知性; 名嘴,中,TW,中
8190,夢想街57號,http://www.youtube.com/user/57dreamst,電視與電影,理財; 經濟; 產業; 新聞; 談話類; 廖慶學; 陳斐娟,中,TW,中
244,民視綜合影音,http://www.youtube.com/user/ftvcp,電視與電影,民視; 電視台,中,TW,中
,海鵬電影，處處真情,http://www.youtube.com/user/swallowwingsfilm,電視與電影,電影預告; 花絮,中,TW,中
7245,看看新聞網 (SMG News),http://www.youtube.com/user/kankanews,電視與電影,SMG; 看看新聞網; 電視台,中,TW,中
468,臺北市電影委員會 Taipei Film Commission,http://www.youtube.com/user/taipeifilmcommission,電視與電影,花絮; 專訪; 國片; 電影首映會,中,TW,高
407,觸電網,http://www.youtube.com/user/truemovie1,電視與電影,觸電網; 電影預告,中,TW,中
411,迪士尼電影,http://www.youtube.com/user/bvitw2009,電視與電影,迪士尼電影; 預告片; 花絮; 廣告; ,中,TW,高
,非诚勿扰,http://www.youtube.com/user/jstvfeichengwurao,電視與電影,非誠勿擾; 兩性; 中國 ,中,TW,高
429,齊石傳播的影音總匯,http://www.youtube.com/user/keystone0318,電視與電影,齊石; 電視台,中,TW,中
,我愛康熙,http://www.youtube.com/user/MrPeiStar,電視與電影,中天; 小S; 蔡康永,中,TW,中
,美的因世界 HD,http://www.youtube.com/user/winyeda,藝術設計,高清影像; 攝影; 旅遊; HD,中,TW,中
,非池中藝術網,http://www.youtube.com/user/artemperor888,藝術設計,文化; 藝術,中,TW,高
,台北當代藝術館 MOCATaipei,http://www.youtube.com/user/mocatp,藝術設計,展覽預告,中,TW,高
178,FashionGuide影音美人教室,http://www.youtube.com/user/fashionguide,時尚生活與美食,beauty; 化妝,中,TW,中
,footwearfoot,http://www.youtube.com/user/footwearfoot,運動與健康,棒球; 籃球,中,TW,中
,GQ TV,http://www.youtube.com/user/gqtaiwan,時尚生活與美食,女人; 雜誌; 流行,中,TW,高
4931,HOPE高球周報,http://www.youtube.com/user/hopegolfweekly,運動與健康,golfing; 高爾夫,中,TW,高
,華視直播頻道,http://www.youtube.com/user/TBSCTS/featured?v=jRgkIzylV90,華視,CTS; 新聞; 資訊,中,TW,中
14465,華視新聞雜誌[VOD],,,,,,
14674,華視新聞雜誌－達人嬉遊記,,,,,,
14795,華視新聞雜誌－有故事的人,,,,,,
14796,華視新聞雜誌－生活未來事,,,,,,
25093,台灣好好吃好好玩,,,,,,
11329,好吃夯仔內,,,,,,
10656,南北大不同,,,,,,
20143,有話菁菁說[VOD],,,,,,
