ID,Name,URL,Categories, Tag,Language,Region,Quality
,Ma shushu,http://www.youtube.com/user/cowboy731216,DIY教學,馬叔叔; 烏克麗麗; 吉他; Ukulele,中,TW,高
,蔡阿嘎,http://www.youtube.com/user/kyoko38,人物與網誌,蔡阿嘎; 短片; kuso; 台語教學,中,TW,中
,那傳媒 - 全活動記錄媒體,http://www.youtube.com/user/nagootv,人物與網誌,nagootv; 記者會; 明星藝人; 娛樂新聞,中,TW,高
4400,自由發揮,http://www.youtube.com/user/otfonetwofree,人物與網誌,華語歌手; 自由發揮; 李伯恩; 阿達; 花絮; MV,中,TW,高
33,阿宅反抗軍,http://www.youtube.com/user/otakuarmy,人物與網誌,朱學恆; 宅神; 新聞,中,TW,高
,阿神 Kouki,http://www.youtube.com/user/charlie615119,卡通動畫,遊戲; OeurStudio,中,TW,高
,數位 時尚 性感 流行,http://www.youtube.com/user/2ojux,時尚美食與生活,女性; 展場,中,TW,高
216,美人誌,http://www.youtube.com/user/beauty321,時尚美食與生活,彩妝; beauty; 保養; 美容; 女性; 時尚,中,TW,高
,凱渥 CATWALK,http://www.youtube.com/user/catwalk2009,時尚美食與生活,綜藝娛樂; 模特兒; 凱渥,中,TW,中
,FHM_Taiwan 男人幫國際中文版,http://www.youtube.com/user/FHMTW,時尚美食與生活,雜誌; 性感,中,TW,高
,團隊 這群人,http://www.youtube.com/user/e84768131,搞笑小品,美式幽默; KUSO; 喜劇,中,TW,中
426,巴哈姆特 GNN TVG 影音頻道 Ch.2,http://www.youtube.com/user/samgnn2,電玩遊戲,巴哈母特; 遊戲畫面,中,TW,中
176,電玩宅速配,http://www.youtube.com/user/efuntv,電玩遊戲,遊戲畫面; 遊戲發表會,中,TW,高
,Garena 英雄聯盟(LoL),http://www.youtube.com/user/LeagueofLegendsTW,電玩遊戲,電玩; 遊戲畫面,中,TW,高
,Garena 台灣競舞娛樂,http://www.youtube.com/user/GarenaTaiwan,電玩遊戲,電玩; 遊戲畫面,中,TW,高
,二十世紀福斯影片,http://www.youtube.com/user/twfoxmovies,電視與電影,電影預告,中,TW,高
,佳映娛樂,http://www.youtube.com/user/jointanna,電視與電影,電影預告,中,TW,中
,前景娛樂,http://www.youtube.com/user/ffetaipei,電視與電影,電影預告,中,TW,高
,台灣索尼影業,http://www.youtube.com/user/sonytw2009,電視與電影,電影預告,中,TW,高
,姐妹淘,http://www.youtube.com/user/zimeitao,電視與電影,綜藝娛樂; 緯來; 內容預告,中,TW,中
,海鵬電影，處處真情,http://www.youtube.com/user/swallowwingsfilm,電視與電影,電影預告; 花絮,中,TW,中
468,臺北市電影委員會 Taipei Film Commission,http://www.youtube.com/user/taipeifilmcommission,電視與電影,花絮; 專訪; 國片; 電影首映會,中,TW,高
407,觸電網,http://www.youtube.com/user/truemovie1,電視與電影,觸電網; 電影預告,中,TW,中
411,迪士尼電影,http://www.youtube.com/user/bvitw2009,電視與電影,迪士尼電影; 預告片; 花絮; 廣告; ,中,TW,高
429,齊石傳播的影音總匯,http://www.youtube.com/user/keystone0318,電視與電影,齊石; 電視台,中,TW,中
,我愛康熙,http://www.youtube.com/user/MrPeiStar,電視與電影,中天; 小S; 蔡康永,中,TW,中
,GQ TV,http://www.youtube.com/user/gqtaiwan,時尚生活與美食,女人; 雜誌; 流行,中,TW,高
25528,台灣靈異事件,,,,,,
5541,Savvy Music Entertain,,,,,,
9754,夜夜生歌,,,,,,
9412,地下好聲音,,,,,,
9619,拜師球藝─48分鐘後,,,,,,
9427,他們用籃球說故事,,,,,,
9207,獨立音樂 ID MUSIC,,,,,,
9027,熱血籃不住,,,,,,
9538,KPOP ComeBack Stage – SBS人氣歌謠回歸特輯,,,,,,
9611,尋找大明星,,,,,,
9973,S.H.E 愛而為一,,,,,,
14410,『獨立音樂 - 見證大團』,,,,,,
14409,『獨立音樂 - 音樂盛典』,,,,,,
14411,『獨立音樂 - 樂團我想認識你』,,,,,,
25159,『獨立音樂 - 活動宣傳』,,,,,,
,Toy Animations and Action films,http://www.youtube.com/user/counter656,Cartoons & Animation ,Action; stop motion; commercial; gaming; VFX,Others,Worldwide,Q1
16,剛彈電玩,http://www.youtube.com/user/shingin,Gaming ,遊戲畫面,Others,Worldwide,Q1
4975,AH Media,http://www.youtube.com/user/lilhittelvideos,Sports & Health ,football,EN,Worldwide,Q1
,ahmir TV,http://www.youtube.com/user/ahmirtv,Music,indie; song covers; r&b; soul,EN,Worldwide,Q1
7574,Alli Sports,http://www.youtube.com/user/allisports,Sports & Health ,action sports; skateboarding; bmx; motorcross,EN,Worldwide,Q1
8499,Amazon.com,http://www.youtube.com/user/amazon,Tech & Apps ,consumer websites,EN,Worldwide,Q3
234,American Parkour,http://www.youtube.com/user/americanparkour,Sports & Health ,action sports; parkour,EN,Worldwide,Q2
3589,AniBoom,http://www.youtube.com/user/aniboom,Cartoons & Animation ,funny; kids,EN,Worldwide,Q1
66,Apple,http://www.youtube.com/user/apple,Tech & Apps ,consumer electronics; apple,EN,Worldwide,Q3
364,Autocar,http://www.youtube.com/user/autocar,Autos & Vehicles ,car reviews,EN,Worldwide,Q1
384,Barely Political,http://www.youtube.com/user/barelypolitical,People; Blogs & Shorts ,web shorts; funny,EN,Worldwide,Q1
7270,Bat In the Sun,http://www.youtube.com/user/batinthesun,People; Blogs & Shorts ,web shorts,EN,Worldwide,Q1
5261,Battlefield 3,http://www.youtube.com/user/battlefield,Gaming ,game trailers; first person shooters,EN,Worldwide,Q3
133,Bikini.com,http://www.youtube.com/user/bikinicom,Fashion; Food & Living ,girls; outfits,EN,Worldwide,Q1
170,bing,http://www.youtube.com/user/bing,Tech & Apps ,consumer websites,EN,Worldwide,Q3
12,BlackBerry,http://www.youtube.com/user/blackberry,Tech & Apps ,consumer electronics; blackberry,EN,Worldwide,Q3
22,BMW,http://www.youtube.com/user/bmw,Autos & Vehicles ,car make,EN,Worldwide,Q2
7252,Boston Dynamics,http://www.youtube.com/user/bostondynamics,Tech & Apps ,robotics,EN,Worldwide,Q3
3672,Brit Pop Princess,http://www.youtube.com/user/britpopprincess,Fashion; Food & Living ,outfits,EN,Worldwide,Q2
7368,Bruno's Kitchen,http://www.youtube.com/user/brunoalbouze,Fashion; Food & Living ,recipes,EN,Worldwide,Q2
