ID,Name,URL,Categories, Tag,Language,Region,Quality
,Ma shushu,http://www.youtube.com/user/cowboy731216,DIY教學,馬叔叔; 烏克麗麗; 吉他; Ukulele,中,TW,高
,蔡阿嘎,http://www.youtube.com/user/kyoko38,人物與網誌,蔡阿嘎; 短片; kuso; 台語教學,中,TW,中
,那傳媒 - 全活動記錄媒體,http://www.youtube.com/user/nagootv,人物與網誌,nagootv; 記者會; 明星藝人; 娛樂新聞,中,TW,高
,Tzu Chi DaAiVideo,http://www.youtube.com/user/daaivideo,宗教與非營利,大愛; 慈濟; 談話類,中,TW,高
,好消息電視台,http://www.youtube.com/user/goodtv,宗教與非營利,GoodTV; 電視台,中,TW,中
,手機王 Sogi enriches you!,http://www.youtube.com/user/sogitv,科技3C,手機; 性能檢測,中,TW,中
8070,台灣呷透透,http://www.youtube.com/user/eltafood,時尚美食與生活,MOD; 中華電信;  美食,中,TW,高
180,雄獅旅遊影音頻道,http://www.youtube.com/user/lioncyber,時尚美食與生活,旅遊; 雄獅 ; 教學 ,中,TW,中
1517,非凡大探索,http://www.youtube.com/user/neoking5168,時尚美食與生活,非凡; 美食; 台灣真善美,中,TW,中
,TSR Taiwan,http://www.youtube.com/user/taiwansr,動力機械 ,機車; TSR,中,TW,高
144,商業週刊,http://www.youtube.com/user/bwnet,教育講座,商業; 講座; 文化,中,TW,中
,天下雜誌群影音頻道,http://www.youtube.com/user/cwtv,教育講座,天下雜誌; 國際,中,TW,高
,遠見‧天下文化事業群,http://www.youtube.com/user/cwgv,教育講座,遠見雜誌; 天下文化; 名人專訪; 知性,中,TW,高
,團隊 這群人,http://www.youtube.com/user/e84768131,搞笑小品,美式幽默; KUSO; 喜劇,中,TW,中
,台灣青棒賽,http://www.youtube.com/user/ilovebaseballforever,運動與健康,棒球; 中華少棒,中,TW,中
,台灣原住民族電視台,http://www.youtube.com/user/taiwanindigenoustv,電視與電影,原住民,中,TW,中
,中天影音頻道,http://www.youtube.com/user/ctitv,電視與電影,中天; 電視台,中,TW,中
4458,台灣電視公司,http://www.youtube.com/user/ttv,電視與電影,台視; 電視台,中,TW,中
,年代電視台 ERANews,http://www.youtube.com/user/eranews,電視與電影,年代; 財經,中,TW,中
429,齊石傳播的影音總匯,http://www.youtube.com/user/keystone0318,電視與電影,齊石; 電視台,中,TW,中
,我愛康熙,http://www.youtube.com/user/MrPeiStar,電視與電影,中天; 小S; 蔡康永,中,TW,中
178,FashionGuide影音美人教室,http://www.youtube.com/user/fashionguide,時尚生活與美食,beauty; 化妝,中,TW,中
,footwearfoot,http://www.youtube.com/user/footwearfoot,運動與健康,棒球; 籃球,中,TW,中
,GQ TV,http://www.youtube.com/user/gqtaiwan,時尚生活與美食,女人; 雜誌; 流行,中,TW,高
4931,HOPE高球周報,http://www.youtube.com/user/hopegolfweekly,運動與健康,golfing; 高爾夫,中,TW,高
14465,華視新聞雜誌[VOD],,,,,,
14674,華視新聞雜誌－達人嬉遊記,,,,,,
14795,華視新聞雜誌－有故事的人,,,,,,
14796,華視新聞雜誌－生活未來事,,,,,,
11116,生活大百科,,,,,,
20151,西餐人生[VOD],,,,,,
20158,西點go烘[VOD],,,,,,
20159,台灣農民力[VOD],,,,,,
20160,白色20變[VOD],,,,,,
19396,憲在你要吃什麼[VOD],,,,,,
14732,十點名人堂[VOD],,,,,,
14734,亞洲天團爭霸戰[VOD],,,,,,
14736,景氣到我家[VOD],,,,,,
26070,圓夢廚房,,,,,,
25477,大兵日記,,,,,,
25527,帶子英雄,,,,,,
25478,施公奇案,,,,,,
25479,葉青歌仔戲－薛平貴與王寶釧,,,,,,
9632,創設計,,,,,,
9412,地下好聲音,,,,,,
8842,拜師球藝─籃球教學：基礎課程,,,,,,
9402,拜師球藝─籃球教學：進階課程,,,,,,
9619,拜師球藝─48分鐘後,,,,,,
9427,他們用籃球說故事,,,,,,
9973,S.H.E 愛而為一,,,,,,
9207,獨立音樂 ID MUSIC,,,,,,
9609,CG VFX Express,,,,,,
9716,麻辣獸醫師：寵物頻道,,,,,,
9027,熱血籃不住,,,,,,
9611,尋找大明星,,,,,,
14410,『獨立音樂 - 見證大團』,,,,,,
14409,『獨立音樂 - 音樂盛典』,,,,,,
14411,『獨立音樂 - 樂團我想認識你』,,,,,,
25159,『獨立音樂 - 活動宣傳』,,,,,,
,Toy Animations and Action films,http://www.youtube.com/user/counter656,Cartoons & Animation ,Action; stop motion; commercial; gaming; VFX,Others,Worldwide,Q1
,愛 旅遊,http://www.youtube.com/user/uwanttotravel,Fashion; Food & Living ,kuso,Others,Worldwide,Q3
235,Adidas Football 官方,http://www.youtube.com/user/adidasfootballtv,Fashion; Food & Living ,sportswear; soccer; football,EN,Worldwide,Q2
42,Adidas Originals ,http://www.youtube.com/user/adidasoriginals,Fashion; Food & Living ,sportswear,EN,Worldwide,Q1
3514,Ahanhbarbie Beauty,http://www.youtube.com/user/ahanhbarbie34,Fashion; Food & Living ,outfits; hairstyle; beauty products,EN,Worldwide,Q2
7574,Alli Sports,http://www.youtube.com/user/allisports,Sports & Health ,action sports; skateboarding; bmx; motorcross,EN,Worldwide,Q1
3589,AniBoom,http://www.youtube.com/user/aniboom,Cartoons & Animation ,funny; kids,EN,Worldwide,Q1
639,Associated Press,http://www.youtube.com/user/associatedpress,News ,world news; us news,EN,Worldwide,Q1
186,ATP World Tour - Men's Tennis,http://www.youtube.com/user/atpworldtour,Sports & Health ,tennis,EN,Worldwide,Q1
23,Audi,http://www.youtube.com/user/audi,Autos & Vehicles ,car make,Others,Worldwide,Q2
364,Autocar,http://www.youtube.com/user/autocar,Autos & Vehicles ,car reviews,EN,Worldwide,Q1
227,Auto Express Magazine,http://www.youtube.com/user/autoexpress,Autos & Vehicles ,car reviews,EN,Worldwide,Q1
7289,Bellator MMA,http://www.youtube.com/user/bellatormma,Sports & Health ,combat,EN,Worldwide,Q1
289,Best Dunkers in the World ,http://www.youtube.com/user/teamflightbrothers,Sports & Health ,basketball,EN,Worldwide,Q3
7254,Bikeskills.com,http://www.youtube.com/user/bikeskills,Sports & Health ,action sports; mountain biking; bmx; motorcross,EN,Worldwide,Q1
7575,BlacktipHFishing,http://www.youtube.com/user/blacktiph,Sports & Health ,fishing,EN,Worldwide,Q2
