,Ma shushu,http://www.youtube.com/user/cowboy731216,DIY教學,馬叔叔; 烏克麗麗; 吉他; Ukulele,中,TW,高,,,,,,,,,
,蔡阿嘎,http://www.youtube.com/user/kyoko38,人物與網誌,蔡阿嘎; 短片; kuso; 台語教學,中,TW,中,,,,,,,,寵物與動物,中
,那傳媒 - 全活動記錄媒體,http://www.youtube.com/user/nagootv,人物與網誌,nagootv; 記者會; 明星藝人; 娛樂新聞,中,TW,高,,,,,,,,藝術設計,英
285,馬英九總統國是焦點影音,http://www.youtube.com/user/presidentialoffice,人物與網誌,國民黨; 馬英九,中,TW,高,,,,,,,,動力機械,其他
4400,自由發揮,http://www.youtube.com/user/otfonetwofree,人物與網誌,華語歌手; 自由發揮; 李伯恩; 阿達; 花絮; MV,中,TW,高,,,,,,,,卡通動畫,
33,阿宅反抗軍,http://www.youtube.com/user/otakuarmy,人物與網誌,朱學恆; 宅神; 新聞,中,TW,高,,,,,,,,搞笑小品,
261,霹靂創世錄,http://www.youtube.com/user/pilicreateworld,卡通動畫,布袋戲; 霹靂,中,TW,中,,,,,,,,時尚生活與美食,
,阿神 Kouki,http://www.youtube.com/user/charlie615119,卡通動畫,遊戲; OeurStudio,中,TW,高,,,,,,,,電玩遊戲,
,海雲繼夢弘法影音頻道,http://www.youtube.com/user/lisahou62,宗教與非營利,佛法,中,TW,中,,,,,,,,DIY教學,
331,藝流網-Floating,http://www.youtube.com/user/ntcharts,宗教與非營利,藝流網; floating; 藝術; 知性; 舞蹈; 兩廳院; 音樂; ,中,TW,高,,,,,,,,教育講座,
,原住民ABOPaiwan館,http://www.youtube.com/user/dreampaiwan,宗教與非營利,原住民; 圖騰,中,TW,中,,,,,,,,音樂,
,Tzu Chi DaAiVideo,http://www.youtube.com/user/daaivideo,宗教與非營利,大愛; 慈濟; 談話類,中,TW,高,,,,,,,,新聞,
149,賽博頻道@淡江大學網路校園,http://www.youtube.com/user/cybertku,宗教與非營利,賽博頻道; 淡江大學; 校園;,中,TW,高,,,,,,,,宗教與非營利,
,Hector Hsiao,http://www.youtube.com/user/hector33tw,宗教與非營利,原住民; 藝術,中,TW,高,,,,,,,,人物與網誌,
,好消息電視台,http://www.youtube.com/user/goodtv,宗教與非營利,GoodTV; 電視台,中,TW,中,,,,,,,,科學知識,
