ID,Name,URL,Categories, Tag,Language,Region,Quality
3765,12 News,http://www.youtube.com/user/wisn,News ,local news; abc,EN,US,Q1
5112,2 Bucks,http://www.youtube.com/user/amazingfilms247,Gaming ,game commentaries; first person shooters,EN,US,Q2
533,2K Sports,http://www.youtube.com/user/2ksports,Gaming ,game trailers; sports games,EN,US,Q2
45,ABC News,http://www.youtube.com/user/abcnews,News ,abc; us news,EN,US,Q1
6884,ADA Sport,http://www.youtube.com/user/adasport,Cartoons & Animation ,contest,EN,US,Q2
3781,Adult Swim,http://www.youtube.com/user/adultswim,Cartoons & Animation ,cartoon network; funny,EN,US,Q1
7405,Alloy TV,http://www.youtube.com/user/alloy,People; Blogs & Shorts ,web shorts; vlog,EN,US,Q1
7356,AMC,http://www.youtube.com/user/amc,TV & Film,tv trailers; tv shows,EN,US,Q1
7323,Amoeba Music,http://www.youtube.com/user/amoeba,Music,indie,EN,US,Q2
14,Android Central,http://www.youtube.com/user/androidcentral,Tech & Apps ,android; tech reviews,EN,US,Q2
7944,Apollo Grave,http://www.youtube.com/user/apollograve,People; Blogs & Shorts ,vlog,EN,US,Q2
3783,Artisan News,http://www.youtube.com/user/artisannewsservice,TV & Film,entertainment,EN,US,Q1
8347,Asap Science,http://www.youtube.com/user/asapscience,Science ,lessons,EN,US,Q1
3762,Ask a Leader,http://www.youtube.com/user/thedavosquestion,Education & Lectures ,politics,EN,US,Q2
7887,AT&T Tech,http://www.youtube.com/user/atttechchannel,Tech & Apps ,history,EN,US,Q1
321,Baby Raising,http://www.youtube.com/user/devinanderica,People; Blogs & Shorts ,family; vlog,EN,US,Q2
3504,Bad Astronomy,http://www.youtube.com/user/thebadastronomer,Science ,astronomy,EN,US,Q3
7262,Bad Guy Films,http://www.youtube.com/user/badguyfilmsdotcom,People; Blogs & Shorts ,web shorts,EN,US,Q2
673,BBC America,http://www.youtube.com/user/bbcamericatv,TV & Film,tv trailers; tv shows,EN,US,Q1
7581,Belated Media,http://www.youtube.com/user/belatedmedia,TV & Film,movie reviews,EN,US,Q2
765,Bubz Beauty,http://www.youtube.com/user/bubzvlogz,People; Blogs & Shorts ,vlog,EN,US,Q3
6270,Cartoon2013,http://www.youtube.com/user/cartoon2013,TV & Film,tv shows,EN,US,Q1
7153,Cartoon Network,http://www.youtube.com/user/cartoonnetwork,Cartoons & Animation ,tv shows; cartoon network; kids,EN,US,Q1
7326,CBC,http://www.youtube.com/user/cbc,People; Blogs & Shorts ,podcasts,EN,US,Q3
109,CBS,http://www.youtube.com/user/cbs,TV & Film,tv shows,EN,US,Q1
382,CBS News Online,http://www.youtube.com/user/cbsnewsonline,News ,us news,EN,US,Q1
3674,Chris Stuckmann,http://www.youtube.com/user/chrisstuckmann,TV & Film,movie reviews,EN,US,Q2
3675,Chronicle Books,http://www.youtube.com/user/chroniclebooks,Art & Design ,books,EN,US,Q3
7120,Cimorelli,http://www.youtube.com/user/cimorellitheband,People; Blogs & Shorts ,indie; song covers; vlog,EN,US,Q2
422,CNN,http://www.youtube.com/user/cnn,News ,us news,EN,US,Q1
3634,College Humor,http://www.youtube.com/user/collegehumor,Comedy,funny; web shorts,EN,US,Q1
7292,Corbett Report,http://www.youtube.com/user/corbettreport,News ,politics,EN,US,Q2
6446,C.P.G. Grey,http://www.youtube.com/user/cgpgrey,Science ,,EN,US,Q2
6507,C-SPAN,http://www.youtube.com/user/cspan,News ,us news,EN,US,Q2
567,CW Television,http://www.youtube.com/user/cwtelevision,TV & Film,tv shows; tv trailers,EN,US,Q1
7234,DanceOn,http://www.youtube.com/user/danceon,People; Blogs & Shorts ,audition; vlog,EN,US,Q3
121,Discovery Channel,http://www.youtube.com/user/discoverynetworks,TV & Film,tv shows; discovery network,EN,US,Q1
3393,dLife,http://www.youtube.com/user/dlifedotcom,Sports & Health ,diet,EN,US,Q2
7682,Dove US,http://www.youtube.com/user/doveunitedstates,Fashion; Food & Living ,beauty products,EN,US,Q3
8426,ENTV,http://www.youtube.com/user/entv,TV & Film,entertainment,EN,US,Q1
4511,FaderTV,http://www.youtube.com/user/thefaderteam,Fashion; Food & Living ,high fashion; ,EN,US,Q2
3676,Film Buff,http://www.youtube.com/user/cinetic,TV & Film,movie trailers; tv trailers,EN,US,Q3
3800,Floorstatik (Daniel Cloud Campos),http://www.youtube.com/user/floorstatik,People; Blogs & Shorts ,web shorts,EN,US,Q3
1584,FoodNetwork,http://www.youtube.com/user/foodnetworktv,TV & Film,tv shows; diet,EN,US,Q1
3679,FOR A-TV,http://www.youtube.com/user/foratv,Education & Lectures ,speeches,EN,US,Q1
162,Fox Broadcasting,http://www.youtube.com/user/foxbroadcasting,TV & Film,tv shows; tv trailers,EN,US,Q1
3707,FoxNewsChannel,http://www.youtube.com/user/foxnewschannel,News ,us news,EN,US,Q1
3490,Gab and Dad,http://www.youtube.com/user/gabndad,TV & Film,movie reviews,EN,US,Q3
7316,GlobalNational,http://www.youtube.com/user/globalnational,News ,world news; us news,EN,US,Q1
3681,Ian MacDon,http://www.youtube.com/user/ianmacdon,Cartoons & Animation ,kids; hobbies,EN,US,Q3
6689,iJustine,http://www.youtube.com/user/ijustine,People; Blogs & Shorts ,vlog; game commentaries; web shorts,EN,US,Q2
7206,InTheMoneyStocks,http://www.youtube.com/user/inthemoneystocks,News ,financial news,EN,US,Q2
3682,Irishpolyglot,http://www.youtube.com/user/irishpolyglot,People; Blogs & Shorts ,vlog,EN,US,Q2
